AGE,immig_cohort,weighted_count,count,weighted_mean
58,1950s,190965,8967,2.7104862147513944
59,1950s,201193,9446,2.6419905265093715
60,1950s,211648,9934,2.589530730269126
61,1950s,204064,9650,2.5307550572369455
62,1950s,212199,10230,2.5213973675653514
63,1950s,216880,10302,2.4624907783105865
64,1950s,237504,10751,2.420443445163029
65,1950s,247991,11087,2.3861470779181504
66,1950s,233623,10282,2.3346930738839924
67,1950s,237714,10182,2.3422978873772684
68,1950s,239061,10198,2.2966857831264824
69,1950s,233050,9881,2.291422441536151
70,1950s,231358,9853,2.2802539786823885
71,1950s,212584,9140,2.299989651149663
72,1950s,210810,8962,2.2568236800910775
73,1950s,199351,8534,2.255373687616315
74,1950s,192030,8250,2.2332187679008486
75,1950s,186720,7956,2.238758568980291
76,1950s,168512,7228,2.174272455374098
77,1950s,151352,6691,2.1426674242824673
78,1950s,135544,6191,2.1742902673670543
79,1950s,129464,5874,2.138710375084966
80,1950s,126506,5681,2.221523089813922
81,1950s,110709,4989,2.1786394963372446
82,1950s,110309,4782,2.1772656809507835
83,1950s,107866,4594,2.084669868169766
84,1950s,95758,4076,2.050794711668999
85,1950s,92851,3761,2.0868165124769793
86,1950s,83320,3271,2.132321171387422
87,1950s,75340,2884,2.118250597292275
88,1950s,64414,2426,2.0137547738069363
89,1950s,51161,1964,2.0753112722581655
90,1950s,42739,1539,2.1765834483726807
91,1950s,12993,411,1.941122142692219
92,1950s,20326,633,2.356095641050871
93,1950s,37352,1639,2.1291229385307346
94,1950s,61449,1895,2.206626633468405
95,1950s,30230,871,2.0059212702613296
96,1950s,1384,35,2.0411849710982657
0,1960s,13900,139,4.273381294964029
1,1960s,31200,312,4.407051282051282
2,1960s,35700,357,4.434173669467787
3,1960s,42000,420,4.723809523809524
4,1960s,50300,503,4.894632206759443
5,1960s,65500,655,5.116030534351145
6,1960s,72700,727,5.270976616231087
7,1960s,67500,675,5.3496296296296295
8,1960s,77200,772,5.503886010362694
9,1960s,76100,761,5.533508541392904
10,1960s,86020,1229,5.599395489421065
11,1960s,84800,1604,5.570990566037736
12,1960s,76540,1739,5.508492291612229
13,1960s,79780,2001,5.474805715718225
14,1960s,88580,2477,5.4770828629487465
15,1960s,96680,2894,5.3884981381878365
16,1960s,97080,3146,5.221260815822003
17,1960s,103380,3329,5.178564519249371
18,1960s,104180,3441,4.811288155116145
19,1960s,114100,3801,4.440490797546012
20,1960s,109960,3554,4.132048017460895
21,1960s,135335,4604,3.8512136550042486
22,1960s,159361,5241,3.71537578202948
23,1960s,167704,5540,3.5729797738873255
24,1960s,180490,6025,3.4888747299019336
25,1960s,199803,6649,3.403252203420369
26,1960s,213436,6989,3.4261652204876403
27,1960s,221044,7428,3.456402345234433
28,1960s,225814,7472,3.5285899014232953
29,1960s,235567,8179,3.56627201602941
30,1960s,263398,9103,3.6632814220305394
31,1960s,240210,8483,3.7389575787852296
32,1960s,246203,8868,3.8495428569107606
33,1960s,244761,9167,3.8787225088964337
34,1960s,256548,9823,3.9471950668101097
35,1960s,271384,10846,3.9751201249889454
36,1960s,275790,11111,4.017306646361362
37,1960s,278901,11484,4.063040290282215
38,1960s,272205,11415,4.038393857570581
39,1960s,309283,12849,4.069809850525247
40,1960s,322991,13704,4.040134245226647
41,1960s,294592,12614,4.055564984792527
42,1960s,309992,13320,4.021694108235051
43,1960s,307190,13343,3.9913473745890165
44,1960s,302957,13209,3.8791907762487745
45,1960s,325709,14345,3.862340309908538
46,1960s,307790,13633,3.7649143896812762
47,1960s,316431,14138,3.6711320951487054
48,1960s,318244,14235,3.6161687258832846
49,1960s,336989,15229,3.53459311728276
50,1960s,353443,16069,3.4655658762516164
51,1960s,320497,14839,3.380624467623722
52,1960s,329314,15138,3.3179609734174678
53,1960s,337678,15308,3.258251944159821
54,1960s,350317,15192,3.153951992052912
55,1960s,364606,15643,3.087198235903962
56,1960s,374542,15687,3.015210577184935
57,1960s,383346,15990,2.9509320561581442
58,1960s,392856,15873,2.8758985480685033
59,1960s,397345,16182,2.847344247442399
60,1960s,406221,16139,2.786123809453475
61,1960s,387842,15292,2.754126680452349
62,1960s,388192,15406,2.7106869796389415
63,1960s,372346,14339,2.6900758971494256
64,1960s,347787,13875,2.7016392217075396
65,1960s,333665,13735,2.6440681521885723
66,1960s,303619,12589,2.605314555413199
67,1960s,285765,12243,2.6024495652021766
