AGE,birth_decade,weighted_count,count,weighted_mean
75,Before 1920,2894016,121358,1.958691313385966
76,Before 1920,2637858,110387,1.9546476724675854
77,Before 1920,2444364,102319,1.93823874022036
78,Before 1920,2151388,90567,1.9185786106457785
79,Before 1920,2060189,87695,1.9197966788483969
80,Before 1920,1801955,75642,1.9127203509521602
81,Before 1920,2449224,113382,1.8790870087831901
82,Before 1920,2179998,102554,1.8657241887377878
83,Before 1920,1944474,91469,1.8495747436067542
84,Before 1920,1683076,79414,1.8627209941797043
85,Before 1920,1458099,68664,1.8521273246878298
86,Before 1920,1210764,57230,1.8565294310038951
87,Before 1920,1004896,47866,1.8609229213769385
88,Before 1920,795894,37797,1.8474306880061917
89,Before 1920,683034,32733,1.8864302509099107
90,Before 1920,947397,47577,2.042660046421933
91,Before 1920,44200,442,2.4592760180995477
92,Before 1920,41925,613,2.4415026833631486
93,Before 1920,1388705,76126,1.816899197453743
94,Before 1920,406636,21937,1.7647724254615922
95,Before 1920,35783,1380,2.1107788614705307
96,Before 1920,10700,107,2.7757009345794392
97,Before 1920,10200,102,2.950980392156863
98,Before 1920,8300,83,3.144578313253012
99,Before 1920,4400,44,3.840909090909091
100,Before 1920,92900,929,3.657696447793326
